Question,Sub Question,Compliance Item
"Was the cost of subservicing imposed on the borrower?

",,The costs associated with subservicing may not be imposed on the Borrower or passed along to HUD in a claim for mortgage insurance benefits.
"Was the cost of subservicing passed along to HUD in a claim for mortgage insurance benefits?
",,The costs associated with subservicing may not be imposed on the Borrower or passed along to HUD in a claim for mortgage insurance benefits.
"Did the Transferor Servicing Mortgagee verify that, the change of legal rights to service was reported accurately?",,The Transferor Servicing Mortgagee must verify that the change of legal rights to service has been reported accurately.
"On the Transfer Date, did the Transferee Servicing Mortgagee assume responsibility for all servicing actions, including ensuring resolution of any servicing errors that were, and remain, the responsibility of the Transferor Servicing Mortgagee?",,"On the Transfer Date, the Transferee Servicing Mortgagee assumes responsibility for:
• all servicing actions, including ensuring resolution of any servicing errors that were, and remain, the responsibility of the Transferor Servicing Mortgagee;
• obtaining the complete mortgage file, including origination and servicing records; and
• ensuring that the original Mortgage, mortgage Note, or deed of trust is preserved."
"On the Transfer Date, did the Transferee Servicing Mortgagee assume responsibility for obtaining the complete mortgage file, including origination and servicing records?",,"On the Transfer Date, the Transferee Servicing Mortgagee assumes responsibility for:
• all servicing actions, including ensuring resolution of any servicing errors that were, and remain, the responsibility of the Transferor Servicing Mortgagee;
• obtaining the complete mortgage file, including origination and servicing records; and
• ensuring that the original Mortgage, mortgage Note, or deed of trust is preserved."
"On the Transfer Date, did the Transferee Servicing Mortgagee assume responsibility for ensuring that the original Mortgage, mortgage Note, or deed of trust was preserved?",,"On the Transfer Date, the Transferee Servicing Mortgagee assumes responsibility for:
• all servicing actions, including ensuring resolution of any servicing errors that were, and remain, the responsibility of the Transferor Servicing Mortgagee;
• obtaining the complete mortgage file, including origination and servicing records; and
• ensuring that the original Mortgage, mortgage Note, or deed of trust is preserved."
Did the Transferor Servicing Mortgagee report the Transfer Date and update the mortgage record in FHA Connection (FHAC) or by Electronic Data Interchange (EDI) or Business to Government (B2G) within 15 Days of the Transfer Date?,,The Transferor Servicing Mortgagee must report the Transfer Date and update the mortgage record in FHA Connection (FHAC) or by Electronic Data Interchange (EDI) or Business to Government (B2G) within 15 Days of the Transfer Date.
Did the Selling Mortgage Holder report the effective date of the sale of the Mortgage as the Transfer Date and update the mortgage record in FHAC or by EDI or B2G within 15 Days of the date of the sale?,,The Selling Mortgage Holder must report the effective date of the sale of the Mortgage as the Transfer Date and update the mortgage record in FHAC or by EDI or B2G within 15 Days of the date of the sale.
" As of the effective date of the sale, did the Purchasing Mortgagee become responsible for outstanding MIP obligations, regardless of the date of accrual, and confirm that the details of the mortgage sale were reported accurately?",," As of the effective date of the sale, the Purchasing Mortgagee becomes responsible for outstanding MIP obligations, regardless of the date of accrual, and must confirm that the details of the mortgage sale have been reported accurately."
"Did the Mortgagee respond to verbal or written requests for individual account information, including all servicing information and related data and the entire mortgage origination file, from HUD staff or from a HUD-approved counseling agency acting with the consent of the Borrower?",,"The Mortgagee must respond to verbal or written requests for individual account information, including all servicing information and related data and the entire mortgage origination file, from HUD staff or from a HUD-approved counseling agency acting with the consent of the Borrower."
"Did the Mortgagee make available legible documents in the format (electronic or hard copy) requested by HUD staff within 24 hours of the request, or as otherwise permitted by HUD?",,"When HUD staff request information, the Mortgagee must make available legible documents and in the format (electronic or hard copy) requested within 24 hours of the request, or as otherwise permitted by HUD."
